id,country_of_origin,farm_name,average_altitude_m,region,number_of_bags,bag_weight_kg,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,overall,defects,total_cup_points,moisture_percentage,category_one_defects,quakers,color,category_two_defects,total_bag_weight
129,Brazil,Fazenda Conquista e Capoeirinha,950.0,Sul de Minas,960,60.0,mundo novo,natural / dry,7.58,7.5,7.5,7.83,7.67,7.5,10.0,7.67,0,63.25,11.6,0,0,green,4,57600.0
130,Taiwan,棒棒有機農場,1150.0,苗栗縣,1,320.0,no_record,washed / wet,7.75,7.75,7.58,7.67,7.42,7.5,10.0,7.58,0,63.25,9.6,0,0,green,1,320.0
131,Colombia,Buenos Aires,1390.0,Quindio,2,12.0,"red bourbon,caturra",anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,10.0,7.5,0,63.25,10.9,0,0,brownish,2,24.0
132,Honduras,La Bendicion,1600.0,"Marcala, La Paz",9,15.0,lempira,washed / wet,7.67,7.75,7.67,7.58,7.5,7.58,10.0,7.5,0,63.25,10.5,0,0,bluish-green,3,135.0
133,Honduras,varias,1400.0,Marcala,260,69.0,catuai,washed / wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,7.67,0,63.24,11.3,0,1,green,5,17940.0
134,Taiwan,蜜多莊園,250.0,新竹縣,1,16.0,typica,natural / dry,7.75,7.75,7.5,7.75,7.5,7.42,10.0,7.5,0,63.17,9.7,0,0,greenish,2,16.0
135,Taiwan,迎曦山丘,340.0,苗栗縣,1,100.0,no_record,washed / wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,7.67,0,63.17,11.8,0,0,blue-green,0,100.0
136,Laos,Nongluang Bolaven Plateau,1250.0,"Nongluang Bolaven Plateau, Champasack, Lao PDR",26,60.0,catimor,natural / dry,7.67,7.75,7.33,7.67,7.58,7.5,10.0,7.58,0,63.08,11.8,0,0,brownish,7,1560.0
137,Honduras,La Cuchilla,1368.0,"Centro, Lagunetillas - Ajuterique, Comayagua",250,69.0,catuai,washed / wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,7.58,0,63.08,10.6,0,2,green,7,17250.0
138,Honduras,Bethel,1450.0,"Los Planes de Santa Maria, La Paz",325,69.0,catuai,washed / wet,7.75,7.58,7.58,7.58,7.58,7.5,10.0,7.5,0,63.07,9.6,0,0,green,2,22425.0
139,Colombia,EL PRADO,1650.0,HUILA,600,30.0,caturra,washed / wet,8.0,7.67,7.42,7.58,7.58,7.42,10.0,7.33,0,63.0,13.1,0,0,bluish-green,1,18000.0
140,Taiwan,樹橋窩莊園,275.0,新竹縣,1,12.0,typica,semi washed,7.5,7.67,7.58,7.58,7.5,7.5,10.0,7.58,0,62.91,8.9,0,0,blue-green,0,12.0
141,Mexico,Finca Tequihua,1350.0,"ZONGOLICA, VERACRUZ",141,69.0,bourbon,washed / wet,7.75,7.5,7.42,7.67,7.58,7.5,10.0,7.5,0,62.92,11.9,2,0,green,1,9729.0
142,Colombia,La Argentina,1350.0,Quindio,1,12.0,typica gesha,washed / wet,7.58,7.5,7.5,7.67,7.58,7.5,10.0,7.58,0,62.91,11.5,0,1,greenish,3,12.0
143,Taiwan,嵩岳咖啡莊園,1200.0,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",300,1.0,gesha,others,7.67,7.5,7.42,7.75,7.42,7.58,10.0,7.58,0,62.919999999999995,10.2,0,0,yellow-green,0,300.0
